date,return_xm,ma_gap,rsi_14,vol_ratio,phone_pos,phone_neg,car_pos,car_neg,iot_pos,iot_neg,return_hsi
2025-06-09,0.020618556701030855,0.022106360792492227,45.22613065326632,0.354451471200818,0,1,0,1,1,0,0.0165929866177863
2025-06-10,-0.013131313131313105,0.018431026426457817,44.55445544554455,0.32023414970085656,0,0,1,1,0,0,-0.0003889032927145708
2025-06-11,0.013306038894575156,0.01785437043937286,53.09278350515465,1.0326014637391883,1,0,0,1,0,1,0.010127209063793163
2025-06-12,-0.03535353535353536,0.008938258847842882,46.39639639639641,0.7930792611643676,1,0,1,1,0,0,-0.012640056022408919
2025-06-13,-0.010471204188481686,0.0035642336897566906,51.243781094527364,1.5412060841260724,0,1,1,1,1,1,-0.005945837322836489
2025-06-16,0.049735449735449855,0.002682624845233088,59.16666666666668,0.8422210735473347,0,1,1,1,1,0,0.0072894617927556915
2025-06-17,-0.006048387096774244,0.005733174939311057,57.95918367346936,0.3125140856709287,1,0,1,0,0,1,-0.0029749607470457295
2025-06-18,-0.001014198782961384,0.0054271980151962135,57.20164609053498,0.26114960690400557,1,0,0,1,1,0,-0.011011781422059053
2025-06-19,-0.012182741116751328,0.009409575018095449,58.898305084745765,1.483235307013423,1,0,1,0,1,0,-0.019946123914995506
2025-06-20,0.010277492291880685,0.01663738762013005,57.07964601769912,0.5562156098791327,1,0,1,1,1,0,0.012594827691518429
2025-06-23,0.021363173957273718,0.01575857451848801,56.69642857142857,1.8755702972539146,0,1,1,1,0,1,0.006743877427916489
2025-06-24,0.03486055776892427,0.02188733405095075,62.10937500000001,2.0140330196073513,0,0,1,0,0,1,0.02059940802166582
2025-06-25,-0.002887391722810495,0.027655883253393285,59.34959349593494,1.0229459564864363,0,1,0,1,1,1,0.012340315611497177
2025-06-26,-0.0009652509652509078,0.03581771071483026,64.31718061674007,0.5125154441037844,1,0,1,0,1,1,-0.005590415105719115
2025-06-27,0.03864734299516903,0.04685529833055944,67.2064777327935,3.608917606137186,0,0,1,0,1,1,-0.0013063204917364013
2025-06-30,0.013023255813953583,0.056649135987978834,72.5806451612903,1.6988408950143392,0,1,1,0,1,1,-0.008397080291970838
2025-07-02,0.00642791551882449,0.06158211778762386,71.90082644628097,0.5811989641361636,0,0,1,1,0,1,0.006442418674769801
2025-07-03,-0.03558394160583933,0.06153617295581889,70.73170731707317,0.4372155244139191,0,1,1,1,0,1,-0.004727745076240741
2025-07-04,-0.0066225165562914245,0.06135363622880306,71.60493827160494,0.4280281620580472,0,1,1,1,0,1,-0.00639631271384733
2025-07-07,-0.003809523809523818,0.0516672412943899,63.49999999999997,0.6395471314906742,0,1,1,1,0,1,-0.0011715283119342335
2025-07-08,0.02294455066921608,0.04381101898641028,69.26605504587157,0.11898794145352584,0,1,1,1,0,1,0.010887851574532537
2025-07-09,-0.016822429906542036,0.03138136670251254,64.25531914893617,0.31441840897642415,0,1,1,0,1,1,-0.010594784646938193
2025-07-10,-0.009505703422053258,0.025841053144807467,64.8068669527897,0.7680884837933329,0,0,1,0,1,0,0.005697634474834512
2025-07-11,0.008637236084452882,0.021255944870426067,64.65517241379308,0.3938092252155109,0,1,1,1,0,1,0.004628866222232686
2025-07-14,-0.0028544243577545148,0.016562847071321544,60.280373831775684,0.11609907120743033,0,1,0,0,0,1,0.002637903745823289
2025-07-15,0.003816793893129722,0.010159372141172004,53.55191256830601,1.045260018155881,0,1,0,1,0,1,0.015984565014031782
2025-07-16,-0.0019011406844107182,0.006672106753707857,53.84615384615387,0.3868120456905504,0,1,1,0,0,1,-0.002946355611311291
2025-07-17,-0.020952380952380945,0.0019160758766047408,48.27586206896551,1.368214197985753,1,1,1,0,0,1,-0.0007618519929355472
2025-07-18,0.012645914396887115,-0.0032467532467532795,40.34090909090907,0.36155546885160617,1,1,0,1,0,1,0.013331022930745728
2025-07-21,0.01633045148895307,-0.004900328274418389,41.340782122905004,2.92449061126648,0,1,1,0,0,1,0.006794423101038616
2025-07-22,0.0,-0.0063113937265696024,38.95348837209304,1.7531184354315417,1,0,1,1,1,0,0.005435090301760814
2025-07-23,0.004725897920604849,-0.004977010949424009,52.17391304347824,0.3956261333040277,1,1,1,0,0,1,0.01623965313362241
